variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
fusion = film,fusion,2024,2,glass_adhesion_kpa,0.6356683969497681,20.869245089964323,16.094017028808594,0.6035988926887512,0.7986128330230713,0.8310201587375854,0.80069992477041
fusion = cross,fusion,42,0,glass_adhesion_kpa,0.6909692287445068,21.464966375332168,15.996756553649902,0.5559053421020508,0.8314419984817505,0.8242240687835465,0.8303866758349522
fusion = cross,fusion,42,1,glass_adhesion_kpa,0.6738266944885254,19.805818508139062,14.295656204223633,0.5711158514022827,0.8213215470314026,0.8277088521576106,0.8239858097649989
fusion = cross,fusion,42,2,glass_adhesion_kpa,0.6830191016197205,19.59008637997801,14.553284645080566,0.5630105137825012,0.8542742133140564,0.8183497965473908,0.8621198312890176
fusion = cross,fusion,2024,0,glass_adhesion_kpa,0.76589035987854,17.99335865842025,13.148093223571777,0.48384878039360046,0.8788439631462097,0.881633787163101,0.8925856784631875
fusion = cross,fusion,2024,1,glass_adhesion_kpa,0.756644070148468,17.945809064744928,13.577951431274414,0.49331116676330566,0.8790009617805481,0.8790619487087398,0.876972141832507
fusion = cross,fusion,2024,2,glass_adhesion_kpa,0.6819537878036499,19.498600053663708,15.043924331665039,0.5639558434486389,0.8310546278953552,0.856027452534022,0.8424635816461125
fusion = gated,fusion,42,0,glass_adhesion_kpa,0.6983625888824463,21.206644506857618,15.993387222290039,0.5492152571678162,0.8382235765457153,0.8179721584752062,0.8369587529104315
fusion = gated,fusion,42,1,glass_adhesion_kpa,0.7498317360877991,17.34541359560891,12.92902660369873,0.5001682043075562,0.8672158718109131,0.8597746509823012,0.877978636800996
fusion = gated,fusion,42,2,glass_adhesion_kpa,0.6451191902160645,20.728176176346444,14.884604454040527,0.5957187414169312,0.8244583606719971,0.8182664389014027,0.8324744300047188
fusion = gated,fusion,2024,0,glass_adhesion_kpa,0.659497857093811,21.700138861567872,15.636301040649414,0.5835255980491638,0.8138337135314941,0.8098916365657128,0.8026421113454282
fusion = gated,fusion,2024,1,glass_adhesion_kpa,0.6217775940895081,22.372559824603638,15.405774116516113,0.6149978637695312,0.810871422290802,0.7993442532620989,0.7880682593115272
fusion = gated,fusion,2024,2,glass_adhesion_kpa,0.5329495668411255,23.62872123677361,17.61456298828125,0.6834108829498291,0.7734842300415039,0.8106531072344876,0.7698556131056014
